order_id,order_datetime,customer_id,product_id,quantity,unit_price,discount_pct,payment_method,sales_channel,updated_at,source_batch,reason_code,quarantined_at
O000027,2026-02-02 18:54:00,C0158,P017,4,1281.37,10,Cash,Online,2026-02-03 23:59:00,orders_batch_1,PRODUCT_INACTIVE,2026-08-18T08:35:48
O000054,2026-03-06 15:56:00,C0115,P034,2,530.09,5,Cash,Store,2026-03-07 23:59:00,orders_batch_1,PRODUCT_INACTIVE,2026-08-18T08:35:48
O000058,2026-02-27 23:57:00,C0069,P034,5,530.09,0,Bank Transfer,Store,2026-02-28 23:59:00,orders_batch_1,PRODUCT_INACTIVE,2026-08-18T08:35:48
O000075,2026-02-12 07:26:00,C0016,P034,2,530.09,5,Cash,Marketplace,2026-02-13 23:59:00,orders_batch_1,PRODUCT_INACTIVE,2026-08-18T08:35:48
O000083,2026-02-05 11:37:00,,P039,4,688.83,5,Cash,Online,2026-02-06 23:59:00,orders_batch_1,MISSING_CUSTOMER_ID,2026-08-18T08:35:48
O000089,2026-03-04 08:25:00,C0030,P035,-2,997.99,10,Credit Card,Online,2026-03-05 23:59:00,orders_batch_1,INVALID_QUANTITY,2026-08-18T08:35:48
O000097,31/02/2026 10:00,C0110,P040,5,1472.44,0,Bank Transfer,Online,2026-03-03 23:59:00,orders_batch_1,INVALID_ORDER_DATETIME,2026-08-18T08:35:48
O000101,2026-02-28 22:40:00,C0151,P029,3,450.41,120,Credit Card,Store,2026-03-01 23:59:00,orders_batch_1,INVALID_DISCOUNT_PCT,2026-08-18T08:35:48
O000107,2026-03-03 15:13:00,C0130,P999,1,766,15,PromptPay,Store,2026-03-04 23:59:00,orders_batch_1,PRODUCT_NOT_FOUND,2026-08-18T08:35:48
O000111,2026-01-26 19:08:00,C0064,P034,2,530.09,0,Credit Card,Online,2026-01-27 23:59:00,orders_batch_1,PRODUCT_INACTIVE,2026-08-18T08:35:48
O000113,2026-01-03 03:35:00,C0039,P011,three,616.6,0,PromptPay,Marketplace,2026-01-04 23:59:00,orders_batch_1,INVALID_QUANTITY,2026-08-18T08:35:48
O000127,2026-02-14 13:29:00,C0009,P038,1,THB 979.4,0,Credit Card,Marketplace,2026-02-15 23:59:00,orders_batch_1,INVALID_UNIT_PRICE,2026-08-18T08:35:48
O000131,not-a-date,C0152,P037,1,185.91,5,Bank Transfer,Marketplace,2026-02-17 23:59:00,orders_batch_1,INVALID_ORDER_DATETIME,2026-08-18T08:35:48
O000139,2026-02-03 21:12:00,C0072,P039,4,,5,Cash,Online,2026-02-04 23:59:00,orders_batch_1,INVALID_UNIT_PRICE,2026-08-18T08:35:48
O000149,2026-01-08 12:33:00,C9999,P039,4,688.83,10,PromptPay,Marketplace,2026-01-09 23:59:00,orders_batch_1,CUSTOMER_NOT_FOUND,2026-08-18T08:35:48
O000166,2026-01-18 04:01:00,,P027,4,817.79,10,PromptPay,Online,2026-01-19 23:59:00,orders_batch_1,MISSING_CUSTOMER_ID,2026-08-18T08:35:48
O000178,2026-02-16 01:47:00,C0061,P026,-2,1185.43,0,PromptPay,Marketplace,2026-02-17 23:59:00,orders_batch_1,INVALID_QUANTITY,2026-08-18T08:35:48
O000194,31/02/2026 10:00,C0075,P003,3,344.85,10,Cash,Online,2026-03-20 23:59:00,orders_batch_1,INVALID_ORDER_DATETIME,2026-08-18T08:35:48
O000202,2026-01-15 10:38:00,C0161,P031,3,599.9,120,Credit Card,Online,2026-01-16 23:59:00,orders_batch_1,INVALID_DISCOUNT_PCT,2026-08-18T08:35:48
O000214,2026-01-04 07:12:00,C0043,P999,6,1451.77,0,PromptPay,Store,2026-01-05 23:59:00,orders_batch_1,PRODUCT_NOT_FOUND,2026-08-18T08:35:48
O000226,2026-03-21 10:12:00,C0153,P017,three,1281.37,0,Bank Transfer,Online,2026-03-22 23:59:00,orders_batch_1,PRODUCT_INACTIVE;INVALID_QUANTITY,2026-08-18T08:35:48
O000249,2026-02-07 21:50:00,,P025,5,833.67,15,Credit Card,Online,2026-02-08 23:59:00,orders_batch_1,MISSING_CUSTOMER_ID,2026-08-18T08:35:48
O000254,2026-01-04 03:25:00,C0002,P043,6,THB 1295.01,15,PromptPay,Online,2026-01-05 23:59:00,orders_batch_1,INVALID_UNIT_PRICE,2026-08-18T08:35:48
O000258,2026-03-13 11:31:00,C0058,P017,1,1281.37,0,Bank Transfer,Online,2026-03-14 23:59:00,orders_batch_1,PRODUCT_INACTIVE,2026-08-18T08:35:48
O000262,not-a-date,C0097,P044,5,766,0,Credit Card,Store,2026-02-03 23:59:00,orders_batch_1,INVALID_ORDER_DATETIME,2026-08-18T08:35:48
O000267,2026-01-02 16:42:00,C0095,P042,-2,733.19,0,PromptPay,Marketplace,2026-01-03 23:59:00,orders_batch_1,INVALID_QUANTITY,2026-08-18T08:35:48
O000278,2026-02-01 02:14:00,C0022,P035,4,,0,PromptPay,Marketplace,2026-02-02 23:59:00,orders_batch_1,INVALID_UNIT_PRICE,2026-08-18T08:35:48
O000284,2026-01-05 17:05:00,C0110,P017,3,1281.37,10,Cash,Online,2026-01-06 23:59:00,orders_batch_1,PRODUCT_INACTIVE,2026-08-18T08:35:48
O000291,31/02/2026 10:00,C0165,P041,2,1291.92,0,Cash,Online,2026-01-06 23:59:00,orders_batch_1,INVALID_ORDER_DATETIME,2026-08-18T08:35:48
O000298,2026-01-14 00:46:00,C9999,P037,2,185.91,10,Bank Transfer,Store,2026-01-15 23:59:00,orders_batch_1,CUSTOMER_NOT_FOUND,2026-08-18T08:35:48
O000303,2026-03-02 22:11:00,C0137,P007,4,619.54,120,PromptPay,Online,2026-03-03 23:59:00,orders_batch_1,INVALID_DISCOUNT_PCT,2026-08-18T08:35:48
O000318,2026-01-02 00:14:00,C0134,P017,5,1281.37,0,Credit Card,Store,2026-01-03 23:59:00,orders_batch_1,PRODUCT_INACTIVE,2026-08-18T08:35:48
O000321,2026-01-12 07:42:00,C0073,P999,5,624.66,10,Bank Transfer,Online,2026-01-13 23:59:00,orders_batch_1,PRODUCT_NOT_FOUND,2026-08-18T08:35:48
O000332,2026-02-18 19:38:00,,P017,4,1281.37,0,Bank Transfer,Marketplace,2026-02-19 23:59:00,orders_batch_1,MISSING_CUSTOMER_ID;PRODUCT_INACTIVE,2026-08-18T08:35:48
O000339,2026-03-15 12:23:00,C0146,P014,three,358.74,0,Credit Card,Online,2026-03-16 23:59:00,orders_batch_1,INVALID_QUANTITY,2026-08-18T08:35:48
O000342,2026-02-24 10:13:00,C0156,P034,1,530.09,15,Cash,Store,2026-02-25 23:59:00,orders_batch_1,PRODUCT_INACTIVE,2026-08-18T08:35:48
O000350,2026-03-12 21:39:00,C0171,P017,6,1281.37,0,PromptPay,Store,2026-03-13 23:59:00,orders_batch_1,PRODUCT_INACTIVE,2026-08-18T08:35:48
